center_x,center_y,Thumb_status,Index_status,Middle_status,Ring_status,Pinky_status,DistanceThumbIndex,DistanceThumbMiddle,DistanceThumbRing,DistanceThumbPinky,DistanceIndexMiddle,DistanceIndexRing,DistanceIndexPinky,DistanceMiddleRing,DistanceMiddlePinky,DistanceRingPinky,Gesture_type
354,214,0,0,0,0,0,14.8660687473185,46.0977222864644,54.561891462815,55.5427763079953,60.4152298679729,68.9637585982667,69.7710541700496,8.60232526704263,9.48683298050514,2.82842712474619,volume
348,215,0,0,0,0,0,10.295630140987,53.851648071345,59.1354377678901,64.1950153828161,61.4654374425172,67.1192967781993,72.0902212508742,6.40312423743285,10.816653826392,5.09901951359278,volume
347,217,0,0,0,0,0,13,56.3205113613149,63.9061812346818,67.3572564761956,65.3069674690228,73.3552997403732,76.4852927038918,8.48528137423857,11.180339887499,4.12310562561766,volume
346,217,0,0,0,0,0,10.1980390271856,57.974132162543,65.4599113962126,69.2603782836912,63.1585306985525,71.1125867902441,74.7328575661335,8.48528137423857,11.6619037896906,4,volume
345,218,0,0,0,0,0,11.180339887499,57.4891294072192,65.1459898996093,68.6804193347711,62.7694193059009,71.1125867902441,74.3236167042482,9.21954445729289,11.6619037896906,4.12310562561766,volume
345,216,0,0,0,0,0,9.48683298050514,57.0087712549569,64.1950153828161,69.9213844256534,62.7694193059009,70.2637886823647,75.7693869580585,7.81024967590665,13,6,volume
345,214,0,0,0,0,0,22.2036033111745,58.6941223633168,66.407830863536,70.2139587261678,69.9714227381436,78.7718223732319,82.1522975941635,9.21954445729289,12.2065556157337,4,volume
345,209,0,1,0,0,0,36.0138862107382,58.2494635168428,67.0522184569608,70.6045324324154,75.2861208988748,85.7962703152066,88.2383136738231,10.6301458127347,13.0384048104053,4.12310562561766,volume
345,205,0,0,0,0,0,42.1070065428546,59.2283715798434,67.7200118133481,69.9213844256534,77.0778826901725,86.9770084562581,89.1066776397819,9.89949493661166,12.0415945787923,2.23606797749979,volume
347,201,0,1,0,0,0,55.5427763079953,49.0102030193714,57.0701322935211,63.5609943282828,58.591808301161,70.7106781186548,76.3216876123687,12.2065556157337,18.3847763108502,6.70820393249937,volume
344,194,0,1,0,0,0,68.6585755750875,59.0338885725818,70.3420215802759,76.2430324685476,89.0673902166219,100.169855745129,106.230880632705,12.2065556157337,18.6010752377383,6.40312423743285,volume
334,211,0,0,0,0,0,19.8494332412792,30,41.6173040933696,46.0977222864644,11.4017542509914,22.8473193175917,26.6270539113887,11.6619037896906,16.2788205960997,6.08276253029822,volume
328,215,0,0,0,0,0,31.2409987036266,32.649655434629,42.5205832509386,49.4974746830583,1.4142135623731,11.3137084989848,18.6010752377383,9.89949493661166,17.2046505340853,7.61577310586391,volume
345,181,0,1,0,0,0,120.933866224478,58.309518948453,70,78.1600921186765,105.475115548645,113.159179919262,119.816526406001,13.4164078649987,22.8254244210267,9.4339811320566,volume
