center_x,center_y,Thumb_status,Index_status,Middle_status,Ring_status,Pinky_status,DistanceThumbIndex,DistanceThumbMiddle,DistanceThumbRing,DistanceThumbPinky,DistanceIndexMiddle,DistanceIndexRing,DistanceIndexPinky,DistanceMiddleRing,DistanceMiddlePinky,DistanceRingPinky
557,348,0,1,1,1,1,125.44720004846661,171.95638982020995,206.37102509800158,228.21919288263203,56.85068161420758,108.25894882179486,155.1934276958918,54.91812087098393,109.45775440780794,58.52349955359813
525,346,0,1,1,1,1,126.09916732476864,175.85505395068975,197.6765034089788,230.1238796822268,59.464274989274024,98.6154146165801,168.34488409215172,45.39823785126467,127.01181047445942,83.93449827097318
519,349,0,1,1,1,1,128.2497563350512,175.60182231400674,200.8033864256278,234.3608329051593,55.31726674375732,97.41663102366043,168.51409436602032,47.853944456021594,130.64838307457157,85.86617494683223
517,351,0,1,1,1,1,131.13733259449805,179.47701802737865,203.48218595248088,237.7940285204824,57.38466694161429,99.12618221237011,171.64206943520577,47.67598976424087,131.64345787011217,86.58521813797087
518,351,0,1,1,1,1,134.18271125595876,182.3869512876401,205.27298896834918,239.20702330826325,56.72741841473134,97.75479527879949,171.30382365843442,47.51841748206689,132.84953895290718,87.80091115700337
518,351,0,1,1,1,1,134.05968819895114,183.35757415498276,207.9663434308542,240.52026941611388,59.464274989274024,101.87246929372037,173.78722622793657,47.853944456021594,131.64345787011217,86.83317338436964
524,360,0,1,1,1,1,129.75746606650424,183.09833423600554,201.93315725754402,234.61670869739862,62.24146527838174,97.12878049270464,164.90603384958357,42.04759208325728,121.6552506059644,81.04319835741924
90,387,1,0,0,0,0,34.539832078341085,42.95346318982906,38.28837943815329,38.05259518088089,31.78049716414141,42.579337712087536,61.29437168288782,17.804493814764857,45.617978911828175,28.460498941515414
